兒,ji4
兔,tou3
兕,ci5
兕,zi3
兕,zi6
兗,jin2
兗,jin5
党,dong2
兜,dau1
兟,san1
兢,ging1
入,jap6
內,naap6
內,noi6
屳,sin1
全,cyun4
兩,loeng2
兩,loeng5
兩,loeng6
八,baat3
六,luk6
兮,hai4
公,gung1
共,gung1
共,gung2
共,gung6
弚,teoi4
兵,bing1
具,geoi6
其,gei1
其,gei6
其,kei4
典,din2
兼,gim1
冀,gei3
冀,kei3
冇,mo5
冇,mou5
冊,caak3
冉,jim5
再,zoi3
冏,gwing2
冑,zau6
冒,mak6
冒,mou6
冔,heoi2
冓,gau3
冓,kau3
冕,min5
冘,jam4
冘,jau4
冗,jung2
冗,jung5
冞,mei4
冠,gun1
冠,gun3
冢,cung2
冤,jyun1
冥,ming4
冥,ming5
冪,mik6
冬,dung1
冰,bing1
冰,jing4
冱,wu6
冹,fat1
冶,je5
冷,laang5
冾,haap6
冼,sin2
冽,lit6
凈,zeng6
凈,zing6
凄,cai1
凅,gu3
凊,cing3
凊,zing6
准,zeon2
凋,diu1
凍,dung3
凎,gam3
凌,ling4
凐,jan1
凔,cong1
凔,cong3
凗,ceoi1
凗,ceoi4
凘,si1
凜,lam5
凝,jing4
凝,king4
凞,hei1
几,gei1
几,gei2
凡,faan4
凰,wong4
凱,hoi2
凱,ngoi2
凳,dang3
凵,ham2
凵,ham3
凵,jyu1
凶,hung1
凹,waa1
凹,aau1
凹,aau3
凹,ngaau1
凹,lap1
凹,nap1
出,ceot1
凸,dat6
凸,gu2
函,haam4
刀,dou1
刁,diu1
刃,jan6
切,cai3
切,cit3
分,fan1
分,fan6
刈,ngaai6
刌,cyun2
刉,gei1
刊,hon1
刊,hon2
刎,man5
刓,jyun4
刖,jyut6
刑,jing4
列,laat6
列,lit6
刐,daan2
刐,daan3
划,waa1
划,waa4
划,waak6
刞,ceoi3
刪,saan1
判,pun3
刨,paau4
利,lei6
刜,fat1
刡,man5
初,co1
別,bit3
別,bit6
刻,haak1
刻,hak1
刵,ji6
制,zai3
券,gyun3
券,hyun3
到,dou3
刲,gwai1
刲,kwai1
刮,gwaat3
刱,cong1
刱,cong3
刺,cek3
刺,ci3
刺,cik3
刺,sik3
刷,caat3
刷,saat3
刳,fu1
剁,do2
剁,do3
剁,doek3
剎,caat3
剎,saat3
前,cin4
剌,laa1
剌,laat6
削,soek3
剃,tai3
剋,haak1
剋,hak1
則,zak1
剉,co3
剆,lo4
剆,lo5
剄,ging2
剔,tai3
剔,tik1
剢,doek3
剢,duk1
剝,bok1
剝,mok1
剖,fau2
剖,pau2
剚,zi3
剚,zi6
剜,wun1
剜,wun2
剟,zyut3
剛,gong1
剕,fai3
剕,fai6
剕,fei6
剡,jim5
剡,sim6
剞,gei1
剞,gei2
剒,co3
剒,cok3
剬,zai3
剬,tyun4
剫,dok6
剮,gwaa2
剮,waa2
剪,zin2
剭,uk1
剭,nguk1
副,pik1
副,fu3
割,got3
創,cong1
創,cong3
剴,goi1
剴,hoi2
剩,sing6
剩,zing6
剺,lai5
剺,lei4
剼,saam1
剿,caau1
剿,ziu2
剽,piu3
剽,piu5
剸,tyun4
剸,zyun1
剷,caan2
剻,fau4
劁,ciu4
劂,gyut3
劂,kyut3
劀,gwaat3
劃,waak6
劊,kui2
劍,gim3
劋,caau1
劋,ziu2
劉,lau4
劈,pek3
劈,pek6
劈,pik1
劇,kek6
劌,gwai3
劑,zai1
劑,zai6
劓,ji6
劖,caam4
劖,caam5
劗,zin2
劗,zyun1
劘,mo4
劙,lai5
劙,lai6
力,lik6
加,gaa1
加,gaa3
功,gung1
劦,hip6
劣,lyut3
劣,lyut6
助,zo6
