庸,yung4
庳,bei1
庳,pei5
庴,jik1
庴,jik6
康,hong1
庰,bing2
庰,bing3
庲,loi4
庵,am1
庵,ngam1
庱,ching2
廁,chak1
廁,jak1
廁,chi3
廊,long4
廄,gau3
廂,seung1
廋,sau1
廅,hap6
廈,ha6
廆,gwai1
廆,wai2
廇,lau6
廉,lim4
廌,jaai6
廌,ji6
廙,yi6
廙,yik6
廜,tou4
廑,gan2
廑,gan6
廑,kan4
廖,liu6
廔,lau4
廒,ngou4
廓,gwok3
廓,kwok3
廘,luk6
廕,yam3
廗,daai3
廎,king2
廢,fai3
廠,chong2
廛,chin4
廡,mou5
廣,gwong2
廞,yam1
廟,miu6
廝,si1
廚,cheui4
廚,chyu1
廚,chyu4
廩,lam5
廦,bik1
廦,pik1
廧,cheung4
廥,kui2
廥,kui3
廨,gaai3
廨,haai6
廬,lou4
廯,sin2
廮,ying2
廱,yung1
廲,lai6
廳,teng1
廳,ting1
廷,ting4
延,yin4
建,gin3
廾,ya6
廾,ye6
廾,gung2
廿,ya6
廿,yap6
廿,ye6
廿,nim6
弁,bin6
弁,pun4
弅,fan5
异,yi4
异,yi6
弄,lung6
弄,nung6
弈,yik6
弇,yim2
弊,bai6
弋,yik6
式,sik1
弒,si3
弓,gung1
引,yan5
弔,dik1
弔,diu3
弘,wang4
弗,fat1
弛,chi2
弛,chi4
弟,dai6
弟,tai5
弟,tai6
弟,teui4
弝,ba3
弧,wu4
弦,yin4
弦,yun4
弣,fu2
弢,tou1
弨,chiu1
弩,nou5
弤,dai2
弭,mai5
弭,mei5
弮,gyun2
弮,gyun3
弮,hyun1
弳,ging3
弰,saau1
弱,yeuk6
張,jeung1
張,jeung3
強,geung6
強,keung3
強,keung4
強,keung5
弸,bang1
弸,pang4
弶,geung6
弶,keung5
弶,jeung3
弼,bat6
彀,gau3
彃,bat1
彄,kau1
彆,bit3
彈,daan2
彈,daan6
彈,taan4
彉,fok3
彉,gwok3
彉,kwok3
彋,gwang1
彋,wang4
彊,geung1
彊,geung6
彊,keung3
彊,keung4
彊,keung5
彌,mei4
彌,nei4
彎,waan1
彏,fok3
彏,gwok3
彔,luk6
彖,teun3
彗,wai6
彗,seui6
彘,ji6
彙,wai6
彙,wui6
彝,yi4
形,ying4
彤,tung4
彥,yin6
彧,yuk1
彬,ban1
彫,diu1
彫,tiu1
彩,choi2
彪,biu1
彭,paang4
彭,bong1
彭,pong4
彯,piu1
彰,jeung1
影,yeng2
影,ying2
彳,chik1
彴,jeuk3
彷,fong2
彷,pong4
彸,jung1
彶,gap1
役,yik6
征,jing1
往,wong5
彿,fat1
彼,bei2
彾,ling4
彾,ling5
彽,dai1
徂,chou4
待,daai1
待,doi6
律,leut6
徇,seun1
徇,seun6
徉,yeung4
後,hau6
很,han2
徊,wui4
徆,sai1
徐,cheui4
徒,tou4
徑,ging3
徖,chung4
徟,jau1
徙,saai2
徘,pui4
徜,seung4
得,dak1
從,chung1
從,chung4
從,sung1
從,jung1
從,jung3
從,jung6
徛,gei3
徛,kei5
徠,loi4
徠,loi6
御,nga6
御,yu6
循,cheun4
徥,si6
徥,ji6
徨,wong4
徦,ga2
徦,ha4
徫,wai5
復,fau6
復,fuk1
復,fuk6
徭,yiu4
徯,hai4
徯,hai5
微,mei4
徬,bong6
徬,pong4
徹,chit3
徶,pit3
德,dak1
徵,ji2
徵,ching4
徵,jing1
徲,tai4
徲,chi4
徼,giu1
徼,giu2
徼,giu3
徼,hiu1
徼,yiu1
徻,wai3
徻,wui3
徽,fai1
徾,mei4
徿,lung5
忀,seung1
忀,nong5
忁,bou3
心,sam1
必,bit1
忉,dou1
忉,tou1
忔,hat1
忔,ngat6
忏,saam3
忕,taai3
忕,si6
忙,mong4
忖,chyun2
忡,chung1
忨,wun6
忨,yun4
忤,ng5
忤,ng6
忘,mong4
忘,mong6
忷,hung1
怀,waai4
忯,kei4
忯,si6
忴,kam4
忴,kim4
志,ji3
忸,nau2
忸,nau5
忸,nuk6
忪,sung1
忪,jung1
忺,him1
忻,yan1
忳,jeun1
忳,tyun4
忮,gei6
忮,ji3
忐,taan2
忭,bin6
忌,gei6
忣,gap1
忑,tik1
忍,yan2
忍,yan5
快,faai3
忒,tik1
忱,sam4
怪,gwaai3
怗,jim1
怗,tip3
念,nim6
忝,tim2
忝,tim5
怳,fong2
性,sing3
怙,wu6
怫,fai3
怫,fat6
怫,bui6
怛,daat3
怦,paang1
怦,ping1
怢,dat6
怴,hyut3
怕,pa3
忿,fan2
忿,fan5
忿,fan6
忽,fat1
怓,naau4
怲,bing2
怲,bing3
怖,bou3
怌,pei1
怬,hei3
怑,bun6
怡,yi4
怋,man5
忞,man4
怞,yau4
怞,jau6
怮,yau1
怜,lin4
怜,ling4
怭,bit1
怯,hip3
怐,hau6
怐,kau3
怚,jeui6
怚,chou1
怵,cheut1
怵,seut1
怵,jeut1
怍,jok6
怉,baau2
怉,pou5
怔,jing1
忠,jung1
怏,yeung2
怏,yeung3
怩,nei4
怊,chiu1
怊,tiu4
忥,hei3
思,si1
思,si3
思,soi1
恤,seut1
怨,yun3
急,gap1
恪,kok3
恂,seun1
恟,hung1
恨,han6
怒,nou6
恔,haau6
恲,paang1
恇,hong1
恓,sai1
恰,aam1
恰,hap1
恅,lou5
恄,hat1
恆,gang1
恆,gang2
恆,gang3
恆,hang4
怠,doi6
怠,toi5
恒,gang2
恒,hang4
恌,tiu1
恦,heung2
恞,yi4
恀,chi2
恮,chyun4
恛,wui4
怷,seut6
怎,jaam2
怎,jam2
怎,dim2
恉,ji2
怤,fu1
恃,chi5
恃,si5
恬,tim4
恬,tim5
恫,dung6
恫,tung1
恢,fui1
恘,chau4
恍,fong2
怹,ta1
悇,tou4
悍,hon5
悍,hon6
悗,mun4
悗,mun5
恙,yeung6
恣,chi1
恣,chi3
恣,ji1
恣,ji3
悅,yut6
悖,bui3
悖,bui6
悖,but6
悃,kwan2
悀,yung5
悈,gaai3
悈,hak1
悜,ching2
悢,leung6
悢,long5
悒,yap1
恁,yam5
恁,yam6
悎,gaau3
悎,hou6
恐,hung2
恥,chi2
恩,yan1
悄,chiu2
悄,chiu5
悝,lei5
悝,fui1
恕,syu3
悁,gyun1
悁,gyun3
悁,yun1
息,sak1
息,sik1
悔,fui3
悌,dai6
悌,tai5
悌,tai6
恧,nuk6
恚,waai6
恚,wai3
恚,wai6
悟,ng6
悕,hei1
悛,chyun1
悛,syun1
恝,aat3
恝,gaat3
恝,git3
悚,sung2
恭,gung1
惏,laam4
惏,lam4
惓,gyun3
惓,kyun4
悉,sik1
惃,gwan2
惍,gam1
惤,gin1
惙,jyut3
惋,wun2
惋,yun2
悿,tim2
悿,tin2
悷,lai6
悷,leui6
惜,sik1
您,nei5
惘,mong5
悊,jit3
惟,wai4
患,waan6
悆,yu6
悐,tik1
悴,seui6
惕,tik1
惔,daam6
惔,taam4
惀,leun4
惀,leun6
恿,yung2
恿,yung5
悸,gwai3
悸,gwai6
惆,chau4
情,ching4
悵,cheung3
悵,jeung3
悠,yau4
惝,chong2
惝,tong2
悰,chung4
悰,chung6
悼,dou6
惇,deun1
惦,dim3
悾,hung1
惛,fan1
惛,man5
惚,fat1
悱,fei2
惈,gwo2
悻,hang5
悻,hang6
悺,gun2
悺,gun3
悽,chai1
惊,ging1
惊,leung6
愃,hyun1
愃,syun2
愐,min5
惲,wan2
惲,wan6
惰,do6
愔,yam1
惵,dip6
惿,tai4
惿,si6
悲,bei1
惑,waak6
惌,yun3
愄,wui4
愋,hyun1
惢,so2
惺,sing1
惺,sing2
愉,yu4
愉,yu6
愕,ngok6
愅,gaak3
愎,bik1
愎,fuk1
惄,nik6
悶,mun6
愜,hip3
愜,hip6
惎,gei3
惎,gei6
惠,wai6
愣,leng1
愣,ling4
愣,ling6
愝,yin2
惾,sau3
惾,jung1
愀,chau5
愀,chiu2
愓,seung1
愓,dong6
悹,gun2
惼,bin2
惡,ok3
惡,ngok3
惡,fu1
惡,wu1
惡,wu3
惸,king4
慨,koi2
慨,koi3
惁,sik3
惻,chaak1
惻,chak1
惱,nou5
愒,kai3
愒,hei3
愒,koi3
愒,hot3
愖,sam4
惴,jeui3
惴,chyun2
惉,jim1
惶,wong4
愘,kok3
愊,bik1
慍,wan2
慍,wan3
慎,san6
愁,sau4
愶,hip3
愲,gwat1
想,seung2
慈,chi4
愯,sung2
愴,chong2
愴,chong3
慅,chou2
慅,sou1
慉,chuk1
慉,huk1
慆,tou1
惷,cheun2
惷,chyun2
愩,gung1
愩,gung3
愩,hung2
慌,fong1
慌,fong2
慀,haai4
慀,hai6
感,gam2
愫,sou3
慏,ming5
惹,ye5
意,yi3
愧,kwai3
愧,kwai5
愚,yu4
愈,yu6
慊,him2
慊,him3
慊,hip3
愮,yiu4
愆,hin1
愷,hoi2
愍,man5
愾,hei3
愾,koi3
慄,leut6
愛,oi3
愛,ngoi3
憀,liu4
慷,hong1
慷,hong2
慷,kong2
慁,wan6
愨,kok3
慚,chaam4
愿,yun6
慘,chaam2
態,taai3
慥,chou3
慥,jou6
慇,yan1
慟,dung6
慺,lau4
慒,jou1
慱,tyun4
慞,jeung1
慢,maan6
慴,sip3
慴,jip3
慣,gwaan3
慛,cheui4
慡,song2
慲,mun4
愻,seun3
慓,piu3
慓,piu5
慵,yung4
慖,gwok3
慔,mou6
慪,au1
慪,au3
慪,ngau1
慬,kan4
愬,saak3
愬,sou3
慳,haan1
憳,taam2
慹,jap1
慹,jip3
憎,jang1
憟,suk1
憡,chaak3
慮,leui6
慮,lou4
慮,luk6
憃,chung1
憃,jung1
憱,chau3
憱,chuk1
慧,wai3
慧,wai6
憛,taam4
慾,yuk6
憧,chung1
憧,jung1
慼,chik1
憒,kui2
憒,kui3
憯,chaam2
慦,gau3
憔,chiu4
憢,hiu1
憋,bit3
憐,lin4
憮,mou5
憍,giu1
憬,ging2
憫,man5
慶,hing3
慶,geung1
慫,sung2
慝,nik1
慝,tik1
憤,fan5
慕,mou6
憰,gwat1
憰,kyut3
憪,haan4
憪,haan5
憪,haan6
慰,wai3
憚,daan6
憓,wai6
憂,yau1
憉,paang4
憭,liu4
憭,liu5
憑,bang6
憑,pang4
憶,yik1
懈,gaai3
懈,haai5
懈,haai6
懅,geui6
懅,keui4
懊,ou3
懊,ngou3
憲,hin3
憩,hei3
憿,gik1
憿,giu1
憿,giu2
憴,sing4
憾,ham6
憌,king4
憨,ham1
憊,baai6
憊,bei6
憸,chim1
懁,gyun3
懁,hyun1
懍,lam5
懌,yik6
懆,chou2
懆,chou3
憖,yan6
憖,ngan6
憝,deui6
憺,daam6
懨,yim1
應,ying1
應,ying3
懦,no6
憼,ging2
懇,han2
懧,no6
懥,ji3
懋,mau6
懃,kan4
懂,dung2
懞,mung5
憵,pik1
懠,chai4
懠,jai6
懤,chau4
懱,mit6
懰,lau4
懰,lau5
懫,ji3
懮,yau1
懮,yau2
懘,dai3
懘,ding3
懘,chit3
懖,kut3
懪,bok3
懩,yeung5
懟,deui6
懟,jeui6
懭,kong3
懭,kwong3
懣,mun5
懣,mun6
懷,waai4
懶,laan5
懵,mung2
懵,mung4
懵,mung5
懲,ching4
懺,chaam3
懺,chim3
懹,yeung6
懻,gei3
懸,yun4
懽,fun1
懾,sip3
懾,jip3
懼,geui2
懼,geui6
懿,yi3
戃,chong2
戃,tong2
戄,fok3
戀,lyun2
戀,lyun5
戁,naan5
戇,ngong6
戇,jong3
戈,gwo1
戊,mou6
戉,yut6
戌,seut1
成,seng4
成,ching4
成,sing4
戍,syu3
戎,yung4
我,ngo5
戒,gaai3
戕,cheung4
戔,jin1
或,waak6
戙,dong6
戙,dung6
戚,chik1
戛,aat3
戛,gaat3
戛,git3
戟,gik1
戠,jik1
戡,ham1
戡,jam3
戢,chap1
戢,jap1
戥,dang2
戥,dang6
戣,kwai4
戤,koi3
酨,doi6
酨,joi6
截,jit6
戩,jin2
戫,wik6
戫,yuk1
戧,cheung1
戧,cheung3
戮,luk6
戭,yan5
戭,yin2
戰,jin3
戲,fai1
戲,hei3
戲,fu1
戴,daai3
戳,cheuk3
戳,jeuk3
戳,chok3
戶,wu6
戺,si6
戾,lai6
戾,leui6
戾,lit6
所,so2
房,fong4
房,pong4
戽,fu3
扁,bin2
扁,pin1
扃,gwing1
扃,gwing2
扂,dim3
扂,dim6
扂,tim5
扆,yi2
扇,sin3
扈,wu6
扊,yim5
扉,fei1
搫,po4
搫,pun4
摫,kwai1
才,choi4
手,sau2
扎,jaap3
扎,jaat3
扔,ying4
扔,wing1
打,da1
打,da2
打,ding2
扑,pok3
扐,lak6
扐,lik1
扒,pa1
扒,pa4
扒,baat3
扚,dik1
扚,lik6
扚,diu2
扚,yeuk6
扜,yu1
扢,gwat1
扢,ngat6
扢,hei3
扢,goi3
托,tok3
扛,gong1
扛,kong1
扠,cha1
扠,ja3
扞,gon2
扞,hon2
扞,hon6
扥,deun6
扙,jeung6
扡,chi2
扡,to1
扣,kau3
扦,chin1
扤,ngaat6
扤,ngat1
扭,nau2
扭,nau5
抌,dam2
折,jip3
折,sit6
折,jit3
扺,ji2
抄,chaau1
扳,baan1
扳,baan2
扳,paan1
扻,ham2
扻,ham6
扻,jit3
抔,pau4
批,pai1
找,jaau2
抸,jaap3
扯,che2
扴,git3
扷,ou3
扲,gam6
扲,ngam4
扽,dan3
扽,dan6
扽,deun6
抇,wat6
扰,yiu5
扶,pou4
扶,fu4
扮,baan3
扮,baan6
扮,fan5
投,tau4
抗,kong3
抏,waan4
抏,wun6
抏,yun4
把,ba2
把,ba3
抈,yut6
技,gei6
抃,bin6
抉,kyut3
抓,ja1
抓,aau1
抓,jaau2
扼,aak1
扼,ak1
扼,ngak1
抒,syu1
抖,dau2
扱,chaap3
扱,kap1
抑,yik1
抎,wan5
抎,sin6
抆,man5
拍,paak3
承,ching2
承,sing4
拊,fu2
拋,paau1
抨,paang1
抨,ping1
抨,ping4
抮,chan2
抮,jan2
抮,hin2
披,pei1
抱,paau1
抱,bou6
抱,pou5
抵,dai2
抵,ji2
抬,toi4
拖,to1
抾,keui1
抾,gip3
拚,faan1
拚,fan3
拚,ping1
拚,pun1
拚,pun2
拚,pun3
拂,bat6
拂,fat1
拓,taap3
拓,jek3
拓,tok3
拐,gwaai2
拒,keui5
抴,yai6
拇,mou5
抿,man4
抿,man5
拌,bun6
拌,pun1
拌,pun3
抹,maat3
抹,mut3
抹,mut6
抪,bou3
拉,la1
拉,laai1
拉,laap6
拉,laat6
拔,bat6
拘,keui1
抭,yiu5
抰,yeung2
抳,ni4
拗,aau2
拗,aau3
拗,ngaau2
拗,ngaau3
拗,yuk6
拑,kim4
押,aap3
押,ngaap3
押,aat3
押,ngaat3
拆,chaak3
拙,jyut3
拙,jyut6
抯,ja1
拄,jyu2
招,jiu1
抁,yin5
抶,chik1
抻,chan2
抩,naam4
拎,ling1
拎,ling4
拎,ning1
抽,chau1
拈,nim1
拈,nim4
拈,nin2
拷,haau1
拷,haau2
括,gwaat3
括,kut3
拭,sik1
按,on3
按,ngon3
拽,yai6
挂,gwa3
拴,saan1
拴,chyun4
拫,han4
拫,han6
拹,hip6
拱,gung2
拮,gat1
拮,git3
拏,na4
拾,sap6
拾,sip3
挓,ja1
拻,fui1
挏,dung6
挑,tiu1
挑,tiu5
挑,tou1
指,ji2
拵,chyun4
挖,wa1
挖,waat3
挋,jan3
挃,jat6
挀,baak3
拶,jaat3
挔,leui5
拺,chaak3
拺,saak3
拺,chuk1
持,chi4
拼,ping1
拼,ping3
拜,baai1
拜,baai3
拯,ching2
拸,chi2
挍,gaau3
挎,kwa3
挎,fu1
挕,dip6
挕,jip3
拰,nam5
挌,gaak3
挴,mui5
捆,kwan2
挹,yap1
捍,hon2
捍,hon5
捍,hon6
挳,hang1
挳,hin1
拿,na4
捘,jeui3
捘,jeun3
捘,jyun3
捇,waak6
捇,chik3
挈,hit3
挈,kit3
捀,fung4
捀,fung6
捃,gwan3
捃,kwan2
拳,kyun4
捌,baat3
捈,cha4
捈,tou4
捈,syu1
捁,gaau2
捑,sik6
挸,gaan2
捚,jaai1
捗,jik1
捗,bou6
捗,pou4
捕,bou6
挾,gaap3
挾,haap6
挾,hip3
挾,hip6
挐,na4
挐,naau4
挐,yu4
捋,lyut3
捋,lyut6
捙,yai6
挬,but6
挨,aai1
挨,ngaai1
挨,ngaai4
挨,oi2
挨,ngoi2
捉,juk1
捉,juk3
挺,ting2
挺,ting5
揤,jat1
揤,jeut1
挩,seui3
挩,tyut3
振,jan1
振,jan3
拲,gung2
挶,guk1
挶,guk6
捂,ng6
捂,wu2
捔,gok3
挽,waan5
捄,gau3
捄,kau4
捄,geui1
捅,tung2
捊,pau4
捖,gwaat3
捖,yun4
挭,gaang3
挼,no4
挪,no4
捎,saau1
捎,siu1
挫,cho3
捏,nip6
捐,gyun1
授,sau6
推,teui1
掭,tim3
掭,tim5
挻,saan1
挻,sin1
捸,dat6
挲,sa1
挲,so1
掝,waak6
掝,kwik1
掞,sim3
捰,wo2
掮,kin4
掑,kei4
掅,ching3
捨,se2
掃,sou2
掃,sou3
掠,leuk6
掽,pung3
掇,jyut3
掜,ngai5
掜,nip6
捼,no4
捱,ngaai4
捺,naat6
捷,jit3
捷,jit6
接,jip3
掫,jau1
排,paai4
排,bik1
捫,mun1
捫,mun4
掙,jaang1
掙,jaang6
掙,jang1
捥,wun2
掊,fau2
掊,pau2
掊,pau4
探,taam1
探,taam3
掏,tou1
掏,tou4
掄,leun4
捩,lai6
捩,leui6
捩,lit6
捻,nan2
捻,nim1
捻,nim2
捻,nim5
捻,nin2
捻,nip6
捯,dou2
捯,dou3
掗,a2
掗,a3
掗,nga2
掗,nga3
掗,nga6
掬,guk1
掛,gwa3
掛,kwa3
掐,haap3
掩,yim2
捵,chan2
捵,din2
掍,gwan2
掍,wan6
掉,jaau6
掉,diu6
掘,gwat6
捭,baai2
捲,gyun2
掟,deng3
掟,deng6
捽,jeut1
捽,chyut3
捽,jyut6
掀,hin1
掀,hin3
掤,bing1
掂,dim1
掂,dim6
掁,chaang4
採,choi2
捧,bung2
捧,fung2
捧,pung2
控,hung3
措,chou3
掖,yat6
掖,yik6
掎,gei2
掯,kang3
据,geui1
据,geui3
揓,to1
揉,yau4
揉,yau6
揖,chap1
揖,yap1
搜,sau1
搜,sau2
揇,naam5
插,chaap3
揕,jam3
揲,dip6
揲,sip3
揲,sit3
揲,sit6
撝,fai1
提,tai4
提,si4
揪,jau1
掣,jai3
掣,chit3
掌,jeung2
揍,chau3
揍,jau3
揌,sak1
揃,jin1
揃,jin2
揎,syun1
揗,tan4
揗,tang4
揗,seun5
揗,seun6
揈,fang4
揈,gwang1
揣,cheui2
揣,chyun2
掔,haan1
掔,hin1
揩,haai1
捶,cheui4
掱,pa4
揮,fai1
搯,tou1
搯,tou4
揜,am2
揜,ngam2
揜,yim2
揳,sip3
揳,git3
揳,sit3
描,miu4
揊,bik1
揆,kwai4
揆,kwai5
揋,wui1
掾,yun6
揰,chung3
揵,gin6
揵,kin4
揭,gai6
揭,hei3
揭,kit3
揟,seui1
揟,jeui1
揘,waang4
揘,wing4
握,aak1
握,ak1
握,ngak1
揂,yau4
揂,jau1
揙,pin1
揙,pin4
揯,gang1
揯,gang3
換,wun6
揝,jaan6
揝,jyut3
掰,baai1
掰,baai2
掰,mak3
揠,aat3
揠,ngaat3
揄,yau4
揄,yiu5
揄,yu4
揶,ye4
揚,yeung4
揥,dai3
揥,tai3
揹,bui3
揀,gaan2
摒,bing2
摒,bing3
援,wun4
援,yun4
援,yun6
揨,chaang4
搛,gim1
搛,lim4
揫,jau1
搾,ja3
搉,gok3
搉,kok1
搉,kok3
搓,cho1
搔,sou1
搡,song2
搢,jeun3
揱,siu1
揱,sok3
搠,sok3
搘,ji1
搞,gaau2
搧,sin3
搌,jin2
搎,syun1
搆,gau3
搆,kau3
揅,yin4
搹,ak1
搹,ngak1
損,syun2
搶,cheung1
搶,cheung2
搶,chong1
搶,chong2
搒,pang4
搒,bong2
搒,bong3
搒,pong3
搭,daap3
揧,laat6
搤,ak1
搤,ngak1
搦,nik1
搦,nok6
搊,chau1
搕,hap1
搕,hap6
搳,wa1
搳,hat6
搵,man5
搵,wan2
搵,wan3
搗,dou2
搋,chaai1
搋,chi2
搏,bok3
搬,bun1
搽,cha4
搪,tong4
搮,leut6
搚,lap6
搚,hip6
摀,ng6
摀,wu2
搐,chaau1
搐,chuk1
搨,taap3
搖,yiu4
摃,gong1
搣,mit1
搣,mit6
搰,wat6
搥,cheui4
搷,tin4
摁,yan1
摁,on3
摁,ngon3
搟,hin2
摘,jaak6
摶,tyun4
摐,cheung1
摐,chung1
摥,tong3
摭,jek3
摦,wa6
摺,jaap3
摺,jip3
摴,syu1
摓,fung4
摍,suk1
摛,chi1
摧,cheui1
摧,cheui4
撦,che2
搴,gin2
搴,hin1
摸,mo2
摸,mok3
摸,mok6
摸,mou4
摝,luk6
摞,lo3
摞,lo4
撂,liu1
撂,leuk6
摳,kau1
摙,lin4
摙,lin5
摟,lau1
摟,lau4
摟,lau5
摡,hei3
摡,goi3
摿,yiu4
摬,ying2
摜,gwaan3
摑,gwaak3
摑,gwok3
摵,saak3
摵,chik1
摵,sik1
摔,seui1
摔,seut1
摷,jiu6
摋,saat3
摲,chaam3
摲,saam3
摲,saan3
摻,chaam1
摻,saam1
摻,saam2
摻,cham3
摠,jung2
搿,gaap3
搿,gap3
摎,gau1
摎,lau4
撇,pit3
摽,biu1
摽,piu1
摽,piu3
摽,piu5
撤,chit3
撰,jaan3
撰,jaan6
摯,ji3
撱,wai5
撱,to2
撞,chong4
撞,jong6
摨,ji6
撘,daap3
播,bo3
撥,but3
撥,but6
撥,put3
撮,chyut3
撐,chaang1
撜,chaang4
撜,ching2
撏,cham4
撏,chim4
撙,jyun2
撗,gwong3
撅,gwat6
撅,kyut3
撬,giu6
撬,hiu3
撲,pok3
撲,puk1
撟,giu2
撟,giu6
撋,yeun6
撋,no4
撋,yun4
撠,gik1
撢,taam1
撢,taam2
撢,taam3
撢,daan6
撫,fu2
撩,liu1
撩,liu4
撩,liu6
撒,saat3
撈,laau1
撈,laau4
撈,lou1
撈,lou4
撳,gam6
撕,sai1
撕,si1
摰,yit6
摮,ngou4
撊,haan5
撊,haan6
撣,daan6
撣,sin6
撚,nan2
撚,nin2
撚,nin5
撌,gwai6
撓,naau4
撓,naau5
撓,naau6
撖,ham1
撖,hon6
摩,mo1
摩,mo4
摹,mou4
擅,sin6
擗,pek6
擗,bik1
擗,pik1
據,geui3
擙,ngou1
撽,gik1
擐,gwaan3
擐,waan6
撿,gim2
擃,nong5
擉,chok3
擉,chuk1
擉,juk1
擏,king4
擋,dong2
擋,dong3
擛,yip6
擔,daam1
擔,daam3
撼,ham6
擂,leui4
擁,ung2
擁,yung2
撻,taat3
擖,ga3
擖,ka1
擖,yip6
撾,ja1
撾,gwo1
撾,wo1
操,chou1
操,chou3
擒,kam4
擇,jaak6
擄,lou5
撉,dan3
撉,deun1
擦,chaat3
擎,king4
擫,yip3
擰,ling2
擰,ling6
擰,ning1
擰,ning4
擰,ning6
擯,ban3
擘,baai1
擘,maak3
擬,yi4
擬,yi5
擩,yau4
擩,yeui5
擩,yu4
擩,yu5
擢,jok6
擤,sang3
擊,gik1
擱,gok3
擨,ye4
擭,wok6
擣,dou2
擠,jai1
擽,lik1
擾,yiu2
擾,yiu5
攃,chaat3
攃,saat3
擸,laap3
擸,laap6
擸,lip6
攄,syu1
擺,baai2
攆,lin5
擿,jaak6
擿,jek3
擿,tik1
擻,sau2
擻,sau3
擳,jit3
擲,jaak6
擷,git3
擷,kit3
擼,lou5
攁,yeung5
擴,gwok3
擴,kwok3
擴,kong3
擴,kwong3
攐,hin1
攇,hin2
攀,paan1
攌,waan5
攌,waan6
攉,fok3
攉,wok6
攎,lo4
攎,lou4
攍,ying4
攏,lung4
攏,lung5
攘,yeung4
攘,yeung5
攘,yeung6
攗,kwan2
攗,mei4
攔,laan4
攕,saam1
攕,chim1
攖,ying1
攙,chaam1
攓,hin1
攛,chyun1
攛,chyun3
攜,kwai4
攝,nip6
攝,sip3
攡,chi1
攠,mei4
攢,jaan2
攢,jaan6
攢,chyun4
攢,jyun1
攢,jyun6
攤,taan1
攦,lai6
攣,lyun1
攣,lyun4
攥,jaan6
攥,jyut3
攫,fok3
攫,gwok3
攩,dong2
攩,dong3
攪,gaau2
攬,laam2
攬,laam5
攭,lai5
攮,nong5
支,ji1
攲,kei1
攳,cham4
收,sau1
攷,haau2
攻,gung1
改,goi2
攸,yau4
放,fong2
放,fong3
攽,baan1
攽,ban1
敁,dim1
敁,dim6
故,gu3
敃,man5
政,jing3
效,haau6
敉,mai5
敉,mei5
敆,gap3
敊,chuk1
敏,man5
敗,baai6
敔,yu5
敖,ngou4
敖,ngou6
敝,bai6
敕,chik1
敓,dyut6
教,gaau1
教,gaau3
敘,jeui6
救,gau3
敪,jyut3
敧,gei1
敧,yi2
敜,nip6
敥,gaau2
敥,yim6
散,saan2
散,saan3
敤,fo2
敤,fo3
敨,dau2
敢,gam2
敦,deui1
敦,deui3
敦,deui6
敦,deun1
敦,deun6
敦,diu1
敦,tyun4
敞,chong2
敯,fan1
敯,man4
敯,man5
敬,ging3
敲,haau1
敳,ngoi4
敳,juk1
敶,jan6
敵,dik6
敺,au2
敺,ngau2
敺,keui1
敷,fu1
敹,liu4
敻,hing3
敻,hyun3
數,sok3
數,sou2
數,sou3
數,chuk1
敿,giu2
敼,hei2
整,jing2
斃,bai6
斁,yik6
斁,dou3
斀,deuk3
斀,jeuk3
斀,juk1
斂,lim5
斂,lim6
斄,lei4
斄,toi4
文,man1
文,man4
文,man6
斑,baan1
斌,ban1
斐,fei2
斒,baan1
斔,yu5
斕,laan4
斖,mei5
斗,dau2
斗,dau3
料,liu2
料,liu6
斜,che4
斜,ye4
斛,fuk6
斛,huk6
斞,yu5
斝,ga2
斟,jam1
斡,waat3
斡,gun2
斠,gaau3
斠,gok3
斢,tau2
斤,gan1
斤,gan3
斥,chik1
斧,fu2
斨,cheung1
斫,jeuk3
斪,keui4
斬,jaam2
斮,jeuk3
斯,si1
新,san1
斳,kan4
斲,deuk3
斲,jeuk3
斶,chuk1
斷,dyun3
斷,dyun6
斷,tyun5
斸,juk1
方,fong1
於,wu1
於,yu1
於,yu4
斻,hong4
斿,yau4
斿,yau6
斿,lau4
施,yi6
施,si1
施,si3
旅,leui3
旅,leui5
旁,bong6
旁,pong4
旆,bui3
旆,pui3
旂,kei4
旄,mou4
旄,mou6
旃,jin1
旌,sing1
旌,jing1
旋,syun4
族,juk6
旎,nei5
旍,sing1
旍,jing1
旒,lau4
旐,siu6
旓,saau1
旗,kei4
旖,yi2
旚,piu1
旛,faan1
旝,kui2
旝,kui3
旞,seui6
旟,yu4
旡,gei3
既,gei3
日,yat6
日,mik6
旦,daan2
旦,daan3
旮,go1
旬,cheun4
旭,yuk1
旯,lo1
旨,ji2
早,jou2
旵,chaam2
旵,chaam3
旱,hon5
旰,gon3
旰,hon5
旰,hon6
旳,dik1
旲,ying2
旲,toi4
旴,heui1
易,yi6
易,yik6
明,ming4
昀,wan4
旻,man4
旼,man4
昋,gwai3
昄,baan2
昄,baan6
旽,tan1
旽,jan3
昍,hyun1
昐,fan1
昈,wu6
昕,yan1
昂,ngong4
昂,ngong5
昊,hou6
昉,fong2
昅,gip3
曶,fat1
昆,gwan1
昆,kwan1
旺,wong6
昌,cheung1
昇,sing1
昔,sik1
昃,jak1
昑,yam2
昒,fat1
昏,fan1
昜,yeung4
昤,ling4
昴,maau5
昧,mui6
昹,oi2
映,ying2
映,yeung2
昺,bing2
昱,yuk1
昝,jaam2
昝,jaan2
昵,nik1
昵,nik6
是,si6
星,seng1
