僿,sai3
僿,si1
儋,daam1
儋,daam3
僽,jau3
僽,jau6
儇,hyun1
價,ga3
億,yik1
儆,ging2
僸,gam3
儀,yi4
僻,pik1
僻,bui6
儉,gim6
儔,chau4
儗,yi5
儗,yi6
儘,jeun2
儚,mung4
儑,ngaam4
儐,ban1
儐,ban3
儓,toi4
儜,nang4
儜,ning4
儒,yu4
儕,chaai4
儦,biu1
儥,dik6
儥,duk6
儥,yuk6
償,seung4
儩,chi3
儩,si3
儠,lip6
儤,bou3
優,yau1
儢,leui5
儲,chyu1
儲,chyu4
儲,chyu5
儡,leui5
儭,chan3
儰,wai5
儱,lung5
儮,lik6
儴,yeung4
儵,suk1
儳,chaam3
儳,chaam4
儳,jaam6
儹,jaan2
儹,jyun2
儷,lai6
儺,no4
儸,lo4
儼,yim5
儻,tong2
儽,leui4
儽,leui5
儿,ngai4
儿,yan4
儿,yi4
兀,ngat6
兀,ngat6
允,wan5
允,yun4
元,yun4
充,chung1
兄,hing1
兄,fong3
兇,hung1
光,gwong1
兆,siu6
先,sin1
先,sin3
克,haak1
克,hak1
兌,deui3
兌,deui6
兌,yeui6
免,man6
免,min5
兒,ngai4
兒,yi4
兔,tou3
兕,chi5
兕,ji3
兕,ji6
兗,yin2
兗,yin5
党,dong2
兜,dau1
兟,san1
兢,ging1
入,yap6
內,naap6
內,noi6
屳,sin1
全,chyun4
兩,leung2
兩,leung5
兩,leung6
八,baat3
六,luk6
兮,hai4
公,gung1
共,gung1
共,gung2
共,gung6
弚,teui4
兵,bing1
具,geui6
其,gei1
其,gei6
其,kei4
典,din2
兼,gim1
冀,gei3
冀,kei3
冇,mo5
冇,mou5
冊,chaak3
冉,yim5
再,joi3
冏,gwing2
冑,jau6
冒,mak6
冒,mou6
冔,heui2
冓,gau3
冓,kau3
冕,min5
冘,yam4
冘,yau4
冗,yung2
冗,yung5
冞,mei4
冠,gun1
冠,gun3
冢,chung2
冤,yun1
冥,ming4
冥,ming5
冪,mik6
冬,dung1
冰,bing1
冰,ying4
冱,wu6
冹,fat1
冶,ye5
冷,laang5
冾,haap6
冼,sin2
冽,lit6
凈,jeng6
凈,jing6
凄,chai1
凅,gu3
凊,ching3
凊,jing6
准,jeun2
凋,diu1
凍,dung3
凎,gam3
凌,ling4
凐,yan1
凔,chong1
凔,chong3
凗,cheui1
凗,cheui4
凘,si1
凜,lam5
凝,ying4
凝,king4
凞,hei1
几,gei1
几,gei2
凡,faan4
凰,wong4
凱,hoi2
凱,ngoi2
凳,dang3
凵,ham2
凵,ham3
凵,yu1
凶,hung1
凹,wa1
凹,aau1
凹,aau3
凹,ngaau1
凹,lap1
凹,nap1
出,cheut1
凸,dat6
凸,gu2
函,haam4
刀,dou1
刁,diu1
刃,yan6
切,chai3
切,chit3
分,fan1
分,fan6
刈,ngaai6
刌,chyun2
刉,gei1
刊,hon1
刊,hon2
刎,man5
刓,yun4
刖,yut6
刑,ying4
列,laat6
列,lit6
刐,daan2
刐,daan3
划,wa1
划,wa4
划,waak6
刞,cheui3
刪,saan1
判,pun3
刨,paau4
利,lei6
刜,fat1
刡,man5
初,cho1
別,bit3
別,bit6
刻,haak1
刻,hak1
刵,yi6
制,jai3
券,gyun3
券,hyun3
到,dou3
刲,gwai1
刲,kwai1
刮,gwaat3
刱,chong1
刱,chong3
刺,chek3
刺,chi3
刺,chik3
刺,sik3
刷,chaat3
刷,saat3
刳,fu1
剁,do2
剁,do3
剁,deuk3
剎,chaat3
剎,saat3
前,chin4
剌,la1
剌,laat6
削,seuk3
剃,tai3
剋,haak1
剋,hak1
則,jak1
剉,cho3
剆,lo4
剆,lo5
剄,ging2
剔,tai3
剔,tik1
剢,deuk3
剢,duk1
剝,bok1
剝,mok1
剖,fau2
剖,pau2
剚,ji3
剚,ji6
剜,wun1
剜,wun2
剟,jyut3
剛,gong1
剕,fai3
剕,fai6
剕,fei6
剡,yim5
剡,sim6
剞,gei1
剞,gei2
剒,cho3
剒,chok3
剬,jai3
剬,tyun4
剫,dok6
剮,gwa2
剮,wa2
剪,jin2
剭,uk1
剭,nguk1
副,pik1
副,fu3
割,got3
創,chong1
創,chong3
剴,goi1
剴,hoi2
剩,sing6
剩,jing6
剺,lai5
剺,lei4
剼,saam1
